,age,choice,createdAt,question,step,user,result,topic,ageGroup
10909,11,right,2019-05-28 12:21:14.301000+00:00,A_E_F_C,5,a2289c75,correct,animals,11-13
10975,12,right,2019-05-28 12:21:14.429000+00:00,A_H_F_CT,40,a3344a41,color,animals,11-13
4962,12,left,2019-05-28 12:21:14.791000+00:00,A_E_F_C,8,495c9457,wrong,animals,11-13
539,12,left,2019-05-28 12:21:14.856000+00:00,A_H_F_OT,45,1454962c,type,animals,11-13
13905,13,left,2019-05-28 12:21:15.673000+00:00,A_E_F_T,0,c6f3ad95,correct,animals,11-13
595,12,right,2019-05-28 12:21:15.906000+00:00,A_H_F_OT,45,1454962c,orientation,animals,11-13
4953,12,right,2019-05-28 12:21:15.997000+00:00,A_E_F_C,8,495c9457,correct,animals,11-13
10939,12,right,2019-05-28 12:21:17.085000+00:00,A_H_M_CT,41,a3344a41,color,animals,11-13
10855,11,right,2019-05-28 12:21:17.384000+00:00,C_E_F_T,6,a2289c75,correct,cards,11-13
562,12,right,2019-05-28 12:21:18.706000+00:00,A_H_M_OT,46,1454962c,orientation,animals,11-13
10932,12,right,2019-05-28 12:21:19.491000+00:00,G_H_F_OT,42,a3344a41,type,geometry,11-13
13187,12,left,2019-05-28 12:21:20.368000+00:00,A_E_F_C,5,c210f5cf,wrong,animals,11-13
10911,11,right,2019-05-28 12:21:20.418000+00:00,C_E_F_C,7,a2289c75,wrong,cards,11-13
16020,12,right,2019-05-28 12:21:20.605000+00:00,A_E_F_C,5,e9a4d0fa,correct,animals,11-13
