,user,step,createdAt,question,result,topic,ageGroup,uniqueQuestionID,type,feature
124,1147ad30,61,2019-06-13 06:30:23.570000+00:00,G_H_F_CT,type,geometry,11-13,G_H_F_CT_DELY,DELY,dual
125,1147ad30,62,2019-06-13 06:30:26.840000+00:00,A_H_F_CO,orientation,animals,11-13,A_H_F_CO_DELY,DELY,dual
126,123c90fc,0,2019-06-05 12:53:46.327000+00:00,G_E_F_C,correct,geometry,8-10,G_E_F_C_INTRO,INTRO,color
127,123c90fc,1,2019-06-05 12:53:50.762000+00:00,G_E_F_T,wrong,geometry,8-10,G_E_F_T_INTRO,INTRO,type
128,123c90fc,2,2019-06-05 12:53:59.310000+00:00,G_E_F_O,correct,geometry,8-10,G_E_F_O_INTRO,INTRO,orientation
129,123c90fc,3,2019-06-05 12:54:09.891000+00:00,A_E_F_T,correct,animals,8-10,A_E_F_T_INTRO,INTRO,type
130,123c90fc,4,2019-06-05 12:54:18.521000+00:00,A_E_F_O,wrong,animals,8-10,A_E_F_O_INTRO,INTRO,orientation
131,123c90fc,5,2019-06-05 12:54:26.105000+00:00,A_E_F_C,wrong,animals,8-10,A_E_F_C_INTRO,INTRO,color
132,123c90fc,6,2019-06-05 12:54:31.212000+00:00,C_E_F_T,correct,cards,8-10,C_E_F_T_INTRO,INTRO,type
133,123c90fc,7,2019-06-05 12:54:35.561000+00:00,C_E_F_C,correct,cards,8-10,C_E_F_C_INTRO,INTRO,color
134,123c90fc,8,2019-06-05 12:54:40.144000+00:00,C_E_F_O,wrong,cards,8-10,C_E_F_O_INTRO,INTRO,orientation
135,123c90fc,9,2019-06-05 12:54:45.328000+00:00,G_E_M_O,correct,geometry,8-10,G_E_M_O_INTRO,INTRO,orientation
136,123c90fc,10,2019-06-05 12:54:48.699000+00:00,G_E_M_C,correct,geometry,8-10,G_E_M_C_INTRO,INTRO,color
137,123c90fc,11,2019-06-05 12:54:52.344000+00:00,G_E_M_T,correct,geometry,8-10,G_E_M_T_INTRO,INTRO,type
138,123c90fc,12,2019-06-05 12:54:55.431000+00:00,C_E_M_O,correct,cards,8-10,C_E_M_O_INTRO,INTRO,orientation
139,123c90fc,13,2019-06-05 12:55:00.490000+00:00,C_E_M_C,correct,cards,8-10,C_E_M_C_INTRO,INTRO,color
140,123c90fc,14,2019-06-05 12:55:04.246000+00:00,C_E_M_T,correct,cards,8-10,C_E_M_T_INTRO,INTRO,type
141,123c90fc,15,2019-06-05 12:55:07.092000+00:00,A_E_M_T,correct,animals,8-10,A_E_M_T_INTRO,INTRO,type
